Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
2988 HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,760.921,,,,,529.202,
2988 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
2988 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
