Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
EJEWPQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
EJEWPQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
